toplam parfüm: 101
çekilen parfüm: 0
fail eden parfüm: 101
fail eden parfüm listesi:
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Antonio-1087.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Antonio-1087.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Essence-of-Success-107806.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Essence-of-Success-107806.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Mediterraneo-1092.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Mediterraneo-1092.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Power-of-Seduction-Urban-76896.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Power-of-Seduction-Urban-76896.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Secret-Absolu-97180.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Secret-Absolu-97180.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-Blue-for-Men-25399.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-Blue-for-Men-25399.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-Blue-for-Women-25401.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-Blue-for-Women-25401.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-in-Black-for-Men-25400.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Cocktail-Seduction-in-Black-for-Men-25400.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-112.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-112.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-34007.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-34007.html | Hata: HTTP Status 403
  - https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-As-de-Corazon-13916.html | Ad: https://www.fragrantica.tr/perfumes/Antonio-Banderas/Diavolo-As-de-Corazon-13916.html | Hata: HTTP Status 403
